idx,prediction,actual,correct,confidence,prob_up,actual_return,meets_threshold
1000,1,0,False,0.6757502863833059,0.6757502863833059,-0.12018351976017727,True
1001,1,0,False,0.5068052242664732,0.5068052242664732,-0.14478520463007902,False
1002,1,0,False,0.5552598522399933,0.5552598522399933,-0.11949645872540116,False
1003,0,0,True,0.5600405084159211,0.43995949158407893,-0.0759561855311518,False
1004,1,0,False,0.6721894353176704,0.6721894353176704,-0.05802133751593986,True
1005,1,1,True,0.6604580638941627,0.6604580638941627,0.00047378177449451295,True
1006,1,1,True,0.557128632629232,0.557128632629232,0.018184321295840803,False
1007,0,0,True,0.522457341971279,0.47754265802872103,-0.026740897866638597,False
1008,0,0,True,0.5663604126807725,0.4336395873192276,-0.039012874171457414,False
1009,0,0,True,0.5941059019054079,0.4058940980945922,-0.015648062405581472,False
1010,0,0,True,0.6169295299369307,0.3830704700630693,-0.025786456013850618,True
1011,0,1,False,0.5841993151218398,0.41580068487816035,0.0004890898946459132,False
1012,0,1,False,0.6060387765567824,0.39396122344321755,0.024094684161625277,True
1013,1,1,True,0.5277082055736514,0.5277082055736514,0.023917721098470957,False
1014,0,1,False,0.5321508087405548,0.4678491912594452,0.03529837574603482,False
1015,0,1,False,0.502644068975293,0.49735593102470704,0.018494214554936172,False
1016,0,1,False,0.5001486122854739,0.4998513877145261,0.01577457216904086,False
1017,0,0,True,0.6039611948346714,0.3960388051653285,-0.004390144909442213,True
1018,0,1,False,0.50597410638605,0.49402589361394983,0.020991526101968697,False
1019,0,1,False,0.5317739799614043,0.4682260200385957,0.004064921139101483,False
1020,0,1,False,0.5721367973812379,0.4278632026187621,0.03204320941193235,False
1021,0,0,True,0.6428721465893533,0.35712785341064673,-0.005414224825767253,True
1022,0,1,False,0.6952406843073039,0.30475931569269604,0.019438776376874464,True
1023,0,0,True,0.6595981328626125,0.34040186713738746,-0.010034881036832173,True
1024,0,0,True,0.7219342672893397,0.2780657327106601,-0.049040932880243374,True
1025,0,0,True,0.775774689445162,0.22422531055483794,-0.07797341646840324,True
1026,0,0,True,0.7649038345143722,0.2350961654856278,-0.034956605722441414,True
1027,0,0,True,0.75734404240802,0.24265595759197997,-0.015329959124332824,True
1028,0,0,True,0.7353076797888088,0.2646923202111912,-0.021126563772804387,True
1029,0,1,False,0.7528901558346507,0.24710984416534928,0.009423433945532668,True
1030,0,1,False,0.722692597240349,0.277307402759651,0.03431943982062722,True
1031,0,0,True,0.7621175705098165,0.23788242949018354,-0.009419276783043055,True
1032,0,0,True,0.7139767236603198,0.2860232763396801,-0.02279968760923829,True
1033,0,1,False,0.7456013497636688,0.2543986502363312,0.014172002731836717,True
1034,0,1,False,0.7867727922017577,0.2132272077982423,0.01064985706006095,True
1035,0,0,True,0.7762988902571212,0.22370110974287874,-0.011375172221668877,True
1036,0,1,False,0.6831005002570419,0.31689949974295817,0.004964611283341799,True
