prediction,actual,correct,prob_up,confidence
0,1,False,0.4193482693977569,0.7999999999999999
0,0,True,0.3064195414023998,0.7
0,0,True,0.3522544835808304,0.7999999999999999
0,0,True,0.42292594150013996,0.7999999999999999
1,0,False,0.6256698515053319,0.7999999999999999
1,1,True,0.619943559222714,0.95
0,0,True,0.4700899539947097,0.95
0,0,True,0.4538808349615721,0.95
0,0,True,0.4283402216103448,0.95
1,1,True,0.5277499590032767,0.95
0,1,False,0.19391428669278893,0.7999999999999999
0,1,False,0.05486857388667292,0.7999999999999999
0,1,False,0.13660160155594583,0.7999999999999999
0,0,True,0.19340102530641937,0.95
1,0,False,0.5053588264019553,0.95
0,1,False,0.413869478638825,0.95
0,1,False,0.16319284307528967,0.95
0,0,True,0.23781007164045354,0.95
0,0,True,0.14859738006622944,0.95
0,1,False,0.4332119046032437,0.85
0,0,True,0.28998889449042037,0.7999999999999999
0,1,False,0.25351386303521434,0.7999999999999999
0,1,False,0.2238230917411602,0.7999999999999999
0,1,False,0.22933231096894408,0.7999999999999999
0,1,False,0.29449960387221064,0.7999999999999999
0,0,True,0.33439962520696637,0.7
1,0,False,0.5932728279537265,0.7999999999999999
1,1,True,0.5274778253700605,0.7999999999999999
0,1,False,0.3492973518371253,0.7999999999999999
1,0,False,0.5179443130709595,0.7999999999999999
1,1,True,0.6585410765218114,0.7999999999999999
1,1,True,0.5020373631680987,0.7999999999999999
0,0,True,0.3691299059007369,0.95
0,1,False,0.31464557859418607,0.95
1,0,False,0.5738668785303517,0.95
1,1,True,0.5497326691059865,0.7999999999999999
1,1,True,0.8334596484596299,0.95
1,0,False,0.8548942014858838,0.95
1,1,True,0.7619525239907318,0.95
1,1,True,0.6200614330987989,0.95
1,0,False,0.5515823227949955,0.85
1,1,True,0.5606368450130621,0.85
0,0,True,0.3532325827339458,0.85
1,1,True,0.5349972112694161,0.7
0,0,True,0.49365973433609184,0.7
0,1,False,0.15736892188393262,0.85
0,0,True,0.19935907790780252,0.85
0,0,True,0.33242136906706504,0.75
0,1,False,0.20411030389056636,0.95
0,0,True,0.23137363950613457,0.95
0,0,True,0.2554850287127193,0.95
0,0,True,0.3968743086721783,0.95
0,0,True,0.46051914617639306,0.95
1,0,False,0.8285983033557581,0.95
0,0,True,0.26815049017339915,0.95
0,1,False,0.23024475551499993,0.7999999999999999
0,0,True,0.2690257172558211,0.7999999999999999
0,1,False,0.193151080990288,0.7999999999999999
0,0,True,0.1442275252850556,0.7999999999999999
0,1,False,0.35740575039380396,0.7999999999999999
0,0,True,0.14518636151067282,0.95
0,1,False,0.18158033524380238,0.95
0,0,True,0.14118581324951293,0.95
0,0,True,0.21279971597102257,0.95
0,1,False,0.16740417883562705,0.95
0,0,True,0.15125142143417228,0.95
0,0,True,0.35721653135086223,0.95
0,0,True,0.1510680825459175,0.95
0,1,False,0.361144883447731,0.95
0,1,False,0.273657908094105,0.85
0,1,False,0.06061076296619534,0.7
0,0,True,0.35066539802561497,0.7
0,1,False,0.30158122070446275,0.7
1,1,True,0.5491960623713752,0.7
1,0,False,0.5580018332081758,0.7
0,1,False,0.48032915509483215,0.7
0,0,True,0.4582733442371488,0.7
1,0,False,0.5438014042998935,0.7999999999999999
0,0,True,0.3592837969915317,0.7
0,0,True,0.4229081856622575,0.7
1,1,True,0.5568849941012408,0.7
1,1,True,0.5446961609864395,0.7
0,1,False,0.42635799479296943,0.7999999999999999
1,1,True,0.6687292542282892,0.7999999999999999
1,1,True,0.6202308297597026,0.7999999999999999
0,0,True,0.2958862588930931,0.7999999999999999
0,1,False,0.16409285234593582,0.7999999999999999
0,0,True,0.3618488402437037,0.7999999999999999
0,1,False,0.2751156526081357,0.7999999999999999
0,1,False,0.3127532362172417,0.7999999999999999
