prediction,actual,correct,confidence
-1,1,False,0.18474876687205238
-1,1,False,0.5322160069173995
-1,1,False,0.7188559058653197
-1,1,False,0.8094870074891799
-1,1,False,0.7863781337654308
-1,-1,True,0.7126467506847053
-1,-1,True,0.5497043726453149
-1,1,False,0.41200704195854654
-1,1,False,0.47232569180471906
-1,-1,True,0.6337952961999175
-1,1,False,0.49720299170511617
-1,1,False,0.5527114656329514
-1,1,False,0.6958181769811442
-1,-1,True,0.6885899071167659
-1,-1,True,0.49415007568200936
-1,1,False,0.17719542263178825
-1,-1,True,0.2126685885153702
-1,1,False,0.20076677414730404
-1,1,False,0.3178699885838278
-1,1,False,0.616106658898691
-1,-1,True,0.6619912054053434
-1,-1,True,0.5803577599926867
-1,-1,True,0.5472877205347115
-1,1,False,0.367948146448339
-1,-1,True,0.4190558262941758
-1,1,False,0.24707186526174588
-1,1,False,0.31492446588801043
-1,1,False,0.6782546426793113
-1,-1,True,0.7593926270179513
-1,1,False,0.7018851369704506
-1,1,False,0.6322198414979658
-1,-1,True,0.5169011547578141
-1,1,False,0.41153293487667053
-1,-1,True,0.41185268587151114
-1,-1,True,0.30241636999017596
-1,1,False,0.3235254469735948
-1,-1,True,0.633903512394529
-1,-1,True,0.5895402383454049
-1,1,False,0.46929316322015413
-1,1,False,0.486739251492487
-1,-1,True,0.700647594526092
-1,-1,True,0.5329691927203637
-1,-1,True,0.34524498557240624
-1,1,False,0.5640524501256767
-1,1,False,0.6811068080328825
-1,-1,True,0.7963308044820585
-1,1,False,0.6923003398124853
-1,-1,True,0.5457415160098629
-1,1,False,0.4689742842870209
-1,-1,True,0.5910553322314447
-1,-1,True,0.520206049710566
-1,1,False,0.3513853598863085
-1,-1,True,0.26241925200063165
-1,1,False,0.20472079495681497
-1,1,False,0.5825910706786724
-1,-1,True,0.6124821872352958
-1,-1,True,0.6669269610114156
-1,-1,True,0.5084428559824002
-1,1,False,0.4893625670523202
-1,-1,True,0.4207763353044909
-1,1,False,0.3018361057086815
-1,1,False,0.46044580705154126
-1,-1,True,0.5361421344642145
-1,1,False,0.526954000875541
-1,-1,True,0.6428175115643071
-1,-1,True,0.6034047452982748
-1,-1,True,0.3367263287761635
-1,1,False,0.17040150715624128
-1,1,False,0.3995106662481773
-1,1,False,0.677631632403763
-1,1,False,0.710568378633931
-1,-1,True,0.7868736029269132
-1,1,False,0.7242911868119903
-1,1,False,0.6212160201784033
-1,1,False,0.5514789524082788
-1,1,False,0.6548300283712098
-1,1,False,0.8050048329459172
-1,1,False,0.682152106445503
-1,-1,True,0.7015472606354226
-1,1,False,0.5633379562510219
-1,1,False,0.5372105995302215
-1,-1,True,0.47278162154696374
-1,1,False,0.5029887062114932
-1,1,False,0.5577502468341875
-1,1,False,0.45441288255429324
-1,1,False,0.5360246437036406
-1,-1,True,0.5812768353272908
-1,1,False,0.5353111706408379
-1,1,False,0.5063440011418128
-1,-1,True,0.7065680726769914
-1,-1,True,0.6088483722384072
-1,-1,True,0.48159724017508476
-1,1,False,0.46800379946660664
-1,-1,True,0.39911741695432923
-1,1,False,0.49516129030339445
-1,-1,True,0.5500355049992497
-1,1,False,0.4753953721885501
-1,-1,True,0.5566808936747476
-1,-1,True,0.22894113116544898
-1,1,False,0.16538950796302038
-1,-1,True,0.3970470676261964
-1,-1,True,0.3191993408947809
-1,1,False,0.16772277214290507
-1,-1,True,0.3960625221251891
-1,-1,True,0.21376940490801463
-1,-1,True,0.26867664835927135
-1,-1,True,0.1927641482644314
-1,-1,True,0.23189358207600497
-1,1,False,0.21061509344691057
-1,-1,True,0.46282540270015127
-1,1,False,0.4889503719937316
-1,1,False,0.5169791415838352
-1,-1,True,0.49397586987263054
-1,-1,True,0.44473727121398227
-1,-1,True,0.4234990265306072
-1,1,False,0.2897777262546648
-1,1,False,0.30633422539517824
-1,-1,True,0.35099967861435555
-1,1,False,0.4483828129971601
-1,-1,True,0.4519841264343514
-1,-1,True,0.35354861791496955
-1,-1,True,0.5274862617907045
-1,-1,True,0.40121722388852754
-1,-1,True,0.44303709894069637
-1,-1,True,0.40232572412751494
-1,-1,True,0.25953786830708014
-1,-1,True,0.34548876696686115
-1,1,False,0.2705675141099258
-1,1,False,0.47193433048823763
-1,1,False,0.5886727499514331
-1,1,False,0.7107721065378823
-1,1,False,0.7714940572483578
-1,-1,True,0.7020691855794454
-1,-1,True,0.4709020729308139
-1,1,False,0.38708726204006805
-1,1,False,0.3724781722308719
-1,-1,True,0.6968632534444398
-1,1,False,0.6160575360296457
-1,-1,True,0.4110787350067092
-1,-1,True,0.3931038659826135
-1,-1,True,0.20788528609404616
-1,-1,True,0.37191578923006063
-1,1,False,0.284788929365933
-1,1,False,0.44569557258435233
-1,1,False,0.6815194739055359
-1,-1,True,0.7654384946427107
-1,1,False,0.5384000706336651
-1,-1,True,0.497266512412808
-1,1,False,0.3765437340127893
-1,1,False,0.46404593439644015
-1,-1,True,0.4921926935302627
-1,-1,True,0.31878759961677805
-1,1,False,0.35566523442720327
-1,-1,True,0.29321961548372905
