entry_date,exit_date,direction,entry_price,exit_price,pnl,pnl_pct_account,pnl_pct_risk,risk_percent,profit_target_pct,confidence,bars_held,reason,is_winner,balance_after
2023-03-25 14:00:00,2023-03-25 14:00:00,SHORT,1.151414990811662,1.1523634951088364,-82.4001451356469,-0.824001451356469,-0.8610053220248656,0.9570224832276611,0.3710376555194355,1.0,1234,Stop Loss,False,9917.599854864353
2023-05-16 01:00:00,2023-05-16 01:00:00,SHORT,1.152919306975545,1.1535223012669675,-52.3387503943154,-0.527736056709774,-0.492199683513071,1.081107439010874,0.4007961351013868,1.0,3,Stop Loss,False,9865.261104470037
2023-05-16 06:00:00,2023-05-16 06:00:00,SHORT,1.1529744861355933,1.1539081316474946,-81.02656078923104,-0.8213321465208577,-0.6660823769362773,1.2499202198088548,0.37693665552269773,1.0,1,Stop Loss,False,9784.234543680806
2023-05-16 11:00:00,2023-05-16 11:00:00,SHORT,1.1520375981113748,1.1542399511255377,-191.09063821961314,-1.9530463764590549,-1.5061091489549556,1.3253459474729081,0.39696387134310507,1.0,40,Stop Loss,False,9593.143905461193
2023-05-18 05:00:00,2023-05-18 05:00:00,LONG,1.1562284082824765,1.1527320611180323,-302.8614273855898,-3.1570612342547744,-2.4664989409569746,1.334261986099608,0.4140995113738577,1.0,47,Stop Loss,False,9290.282478075604
2023-05-20 05:00:00,2023-05-20 05:00:00,SHORT,1.1514224585674777,1.1540905961860273,-231.5365785198582,-2.4922447629150977,-1.9136617165575183,1.4018340482223153,0.3966368543176162,1.0,57,Stop Loss,False,9058.745899555746
2023-05-22 15:00:00,2023-05-22 15:00:00,SHORT,1.1537409240403247,1.1554505284870429,-148.1510285924334,-1.6354474475291214,-1.4616484370268885,1.235166741176025,0.3610495417263212,1.0,28,Stop Loss,False,8910.594870963312
2023-05-24 01:00:00,2023-05-24 01:00:00,SHORT,1.1555157953682302,1.1196692162137223,3102.1327494844045,34.81398037288432,25.684341736539157,1.5211727676320492,0.34843573312011483,1.0,407,Take Profit,True,12012.727620447717
2023-06-10 01:00:00,2023-06-10 01:00:00,SHORT,1.1194013992229912,1.121593934701988,-195.72543964130628,-1.629317219414416,-1.4771127889163964,0.9182276350472163,0.34637859853460934,1.0,75,Stop Loss,False,11817.00218080641
2023-06-13 05:00:00,2023-06-13 05:00:00,SHORT,1.1203957322263305,1.1231018536679995,-241.315638970452,-2.0421053942293868,-1.511862213761606,1.1430326188087447,0.4158735302729874,1.0,32,Stop Loss,False,11575.686541835958
2023-06-14 15:00:00,2023-06-14 15:00:00,LONG,1.1218917366977097,1.1209320438783839,-85.48813038971052,-0.738514558775809,-0.5567932872247906,1.1458250498913425,0.41832936921990926,1.0,25,Stop Loss,False,11490.198411446247
2023-06-15 17:00:00,2023-06-15 17:00:00,SHORT,1.1210687390350573,1.1229555112215104,-168.3160315523911,-1.46486618877459,-0.9270632349446126,1.375184816114826,0.360886444573674,1.0,2,Stop Loss,False,11321.882379893856
