prediction,actual,correct,confidence,prob_up
1,0,False,0.5261528410298442,0.5261528410298442
1,0,False,0.5112010258089583,0.5112010258089583
0,0,True,0.5193189692399041,0.480681030760096
0,0,True,0.6735476419829147,0.3264523580170856
1,0,False,0.8230320668254593,0.8230320668254593
1,1,True,0.6907755438576495,0.6907755438576495
1,1,True,0.7792588891423795,0.7792588891423795
1,0,False,0.7982829384046575,0.7982829384046575
1,0,False,0.7164766827798597,0.7164766827798597
1,0,False,0.6948944411785684,0.6948944411785684
1,0,False,0.5641357456066948,0.5641357456066948
1,1,True,0.5057144206062455,0.5057144206062455
1,1,True,0.6027685186478539,0.6027685186478539
1,1,True,0.6924031180181097,0.6924031180181097
1,1,True,0.6935105123105735,0.6935105123105735
1,1,True,0.7903631911626396,0.7903631911626396
1,1,True,0.7977750337534242,0.7977750337534242
1,0,False,0.7199697490788765,0.7199697490788765
1,1,True,0.8909757644816994,0.8909757644816994
1,1,True,0.9067607127587881,0.9067607127587881
1,1,True,0.7101786446493221,0.7101786446493221
1,0,False,0.818262578485484,0.818262578485484
1,1,True,0.7226960051691209,0.7226960051691209
1,0,False,0.8052161263224511,0.8052161263224511
1,0,False,0.732875802071481,0.732875802071481
0,0,True,0.5616170715193416,0.4383829284806585
1,0,False,0.5641564696984565,0.5641564696984565
0,0,True,0.622378722802677,0.3776212771973231
0,0,True,0.5591513492652046,0.44084865073479534
1,1,True,0.6489495348810282,0.6489495348810282
1,1,True,0.7611536039011719,0.7611536039011719
1,0,False,0.6675490581794616,0.6675490581794616
1,0,False,0.5566485626840578,0.5566485626840578
0,1,False,0.6533500551756719,0.3466499448243281
0,1,False,0.5337986486181625,0.46620135138183766
0,0,True,0.6448563971392902,0.3551436028607098
0,1,False,0.5913642876589483,0.40863571234105167
1,0,False,0.6304714988725371,0.6304714988725371
1,0,False,0.549953928718617,0.549953928718617
0,0,True,0.5970805047350418,0.40291949526495824
0,1,False,0.5446409583721497,0.4553590416278503
1,1,True,0.5523746440117477,0.5523746440117477
1,1,True,0.5509140159422583,0.5509140159422583
1,0,False,0.8618307393954472,0.8618307393954472
1,0,False,0.7075471083069109,0.7075471083069109
