date,return_pct,balance
2023-03-25,23.05216795057682,12305.216795057682
2023-03-26,-1.249997748511565,12151.401862169994
2023-03-27,0.0,12151.401862169994
2023-03-28,38.01385889488136,16770.618619805282
2023-03-29,1459.1120924886943,261472.74288654473
2023-03-30,0.0,261472.74288654473
2023-03-31,0.0,261472.74288654473
2023-04-01,43.632572287269475,375560.0264380226
2023-04-02,0.0,375560.0264380226
2023-04-03,76.78604814069575,663937.7291359324
2023-04-04,25.085845002424556,830492.1187795898
2023-04-05,-32.97559256445471,556632.421410925
2023-04-06,0.0,556632.421410925
2023-04-07,-4.996938129100183,528817.8437065089
2023-04-08,-63.980143225925765,190479.42989883226
2023-04-09,-22.563764054251155,147500.10076457702
2023-04-10,-4.483599738991944,140886.7866316836
2023-04-11,-26.407868146899567,103681.58978158486
2023-04-12,-40.028510929441964,62179.39328404398
2023-04-13,39.152629909974394,86524.2610168132
2023-04-14,-28.80363317778969,61602.13026373704
2023-04-15,-22.534496533454064,47720.40035492136
2023-04-16,0.0,47720.40035492136
2023-04-17,295.30679070755986,188641.98315583862
2023-04-18,253.75404407261445,667328.6442325593
2023-04-19,-64.02103844118984,240097.91637936147
2023-04-20,-40.24916065776756,143460.52027987986
2023-04-21,39.45440951727209,200062.02144671284
2023-04-22,-47.086746135016504,105859.32529551689
2023-04-23,-40.342676985247564,63152.83963278404
2023-04-24,16.408782696678028,73515.45185490913
2023-04-25,0.0,73515.45185490913
2023-04-26,102.07157307505577,148553.83001645014
2023-04-27,-22.76108885237165,114741.36077280478
2023-04-28,-40.35818313131693,68433.83226475118
2023-04-29,0.0,68433.83226475118
2023-04-30,427.7964965933966,361191.36917795823
2023-05-01,-22.629645213008768,279455.0437929776
2023-05-02,-46.3383918935099,149960.0704340079
2023-05-03,140.7977122841986,361100.41894486395
2023-05-04,-22.677546389303238,279211.7039266741
2023-05-05,-22.66885603992392,215917.60471691773
2023-05-06,-22.579775448562014,167163.89441792396
2023-05-07,-22.58999560668864,129401.5780129453
2023-05-08,-22.553569949286878,100216.90260031466
2023-05-09,-40.39294796666083,59736.341279170396
2023-05-10,0.0,59736.341279170396
2023-05-11,54.70586936486804,92415.6261027051
2023-05-12,-22.724411779363585,71414.71867864937
2023-05-13,-40.33537096494066,42609.32697604738
2023-05-14,40.89950169143839,60036.32938332639
2023-05-15,-64.78956432381882,21139.053139856398
2023-05-16,-23.059489722711874,16264.49535359261
2023-05-17,-6.1024054461595245,15271.969903344612
2023-05-18,54.48443596151991,23592.816565395
2023-05-19,-5.281656164148119,22346.725114972658
2023-05-20,58.71092666652873,35466.694509595014
2023-05-21,0.0,35466.694509595014
2023-05-22,-23.037137583563776,27296.18329907735
2023-05-23,-5.316726399630343,25844.919915523817
2023-05-24,29.92278413947193,33578.4395128654
2023-05-25,20.309495790691905,40398.051272310826
2023-05-26,14.612713148549549,46301.30262233758
2023-05-27,10.180904735209774,51015.19413347895
2023-05-28,134.27851595156721,119517.63972572546
2023-05-29,-27.042970818963184,87196.51929118397
2023-05-30,0.0,87196.51929118397
2023-05-31,0.0,87196.51929118397
2023-06-01,0.0,87196.51929118397
2023-06-02,-23.02224643747797,67121.92173506458
2023-06-03,-23.037658980565684,51658.6023045382
2023-06-04,-6.022147275776579,48547.6451931512
2023-06-05,210.80923623828016,150890.56523650337
2023-06-06,506.7058665331143,915461.911334842
2023-06-07,46.67950894448209,1342795.0361197162
2023-06-08,61.03138838796123,2162321.4898682046
2023-06-09,367.35198251255974,10105652.351194173
2023-06-10,32.1327883642062,13352880.234025825
2023-06-11,81.229135476049,24199309.40927723
2023-06-12,0.0,24199309.40927723
2023-06-13,-22.37725080030616,18784169.250821177
2023-06-14,-26.299232874856514,13844076.835940525
2023-06-15,491.8574265246539,81937196.88729332
2023-06-16,48.74679976944882,121878958.19064125
2023-06-17,-39.69896621519844,73494271.75510275
2023-06-18,-63.77825858880182,26620905.067176577
2023-06-19,0.0,26620905.067176577
2023-06-20,60.47121688388819,42718890.306802906
2023-06-21,-53.156335714750355,20011093.561702803
2023-06-22,0.0,20011093.561702803
2023-06-23,32.12117222617104,26438891.388997585
2023-06-24,-29.706169369348217,18584909.53360394
2023-06-25,0.9552661440172805,18762444.8822747
2023-06-26,167.62159522959175,50212354.298016444
2023-06-27,0.0,50212354.298016444
2023-06-28,21.284230091564005,60899667.32119759
2023-06-29,-39.0579872156387,37113483.04451774
2023-06-30,-21.97815556535399,28956624.005272355
2023-07-01,-21.98519958583015,22590452.424394824
2023-07-02,-4.885994710435052,21486684.113875546
2023-07-03,-42.180026444832315,12423595.072525257
2023-07-04,-21.99697412629601,9690780.07886609
2023-07-05,0.0,9690780.07886609
2023-07-06,-22.079965737250998,7551059.157780113
2023-07-07,-39.27310480767503,4585523.780655585
2023-07-08,-22.053523044141695,3574254.236994108
2023-07-09,-22.108033435394606,2784056.9152134424
2023-07-10,-22.12565319621239,2168066.1373681473
2023-07-11,119.3506699746958,4755667.59781154
2023-07-12,-39.20846204915854,2891043.4725394724
2023-07-13,-25.860441251572592,2143406.873765978
2023-07-14,0.0,2143406.873765978
2023-07-15,-39.35777098313624,1299809.7051523642
2023-07-16,-22.14777536255801,1011930.771514491
2023-07-17,30.781358251623793,1323416.807552787
2023-07-18,52.890226749447045,2023374.9579077493
2023-07-19,0.0,2023374.9579077493
2023-07-20,17.67045204704632,2380914.459576782
2023-07-21,19.383187091157644,2842411.5637569744
2023-07-22,8.820235279497133,3093118.9512919732
2023-07-23,-21.827953174836047,2417954.3949619816
2023-07-24,-41.99708146230941,1402484.1179883075
2023-07-25,-42.653654878812766,804273.3825714136
2023-07-26,-25.6734960779884,597788.2872406371
2023-07-27,0.0,597788.2872406371
