prediction,actual,correct,confidence,prob_up
0,0,True,0.5154078868309051,0.4845921131690949
0,0,True,0.5315063340918385,0.4684936659081616
0,0,True,0.5257576588028553,0.47424234119714476
0,0,True,0.5704600251257061,0.42953997487429396
1,0,False,0.5625007780601049,0.5625007780601049
1,1,True,0.5055304311147195,0.5055304311147195
1,1,True,0.6047342312930568,0.6047342312930568
1,0,False,0.6433253119933013,0.6433253119933013
1,0,False,0.6516756652890072,0.6516756652890072
1,0,False,0.6738172671769357,0.6738172671769357
1,0,False,0.6751607799553301,0.6751607799553301
1,1,True,0.6518532982802372,0.6518532982802372
1,1,True,0.6608148650649739,0.6608148650649739
1,1,True,0.6821451961674347,0.6821451961674347
1,1,True,0.6691134425718689,0.6691134425718689
1,1,True,0.6639566214406627,0.6639566214406627
1,1,True,0.6655811325103828,0.6655811325103828
1,0,False,0.6434824679088147,0.6434824679088147
1,1,True,0.7081707285965602,0.7081707285965602
1,1,True,0.7101197091816552,0.7101197091816552
1,1,True,0.6118260093932043,0.6118260093932043
1,0,False,0.6202848940676162,0.6202848940676162
1,1,True,0.5449044356224867,0.5449044356224867
1,0,False,0.645665600108698,0.645665600108698
1,0,False,0.5574980457683668,0.5574980457683668
0,0,True,0.5614633740301783,0.4385366259698216
0,0,True,0.5208821268398522,0.47911787316014764
0,0,True,0.5769443173034723,0.42305568269652766
0,0,True,0.5044873967026304,0.49551260329736946
1,1,True,0.5432252231239002,0.5432252231239002
1,1,True,0.6173247898052219,0.6173247898052219
1,0,False,0.583299272091341,0.583299272091341
1,0,False,0.5059418147374003,0.5059418147374003
0,1,False,0.5238973843266967,0.47610261567330314
1,1,True,0.5213981781535567,0.5213981781535567
1,0,False,0.5234408591641433,0.5234408591641433
1,1,True,0.5142946355857004,0.5142946355857004
1,0,False,0.5827769197582342,0.5827769197582342
1,0,False,0.5481988966972186,0.5481988966972186
0,0,True,0.5791460403841207,0.4208539596158793
0,1,False,0.5208185590270827,0.4791814409729172
1,1,True,0.5267087633129617,0.5267087633129617
1,1,True,0.5818638872640559,0.5818638872640559
1,0,False,0.6855900154624943,0.6855900154624943
1,0,False,0.5980219797962871,0.5980219797962871
1,0,False,0.6472330574403025,0.6472330574403025
1,0,False,0.522330888154623,0.522330888154623
1,0,False,0.5064153495284591,0.5064153495284591
0,0,True,0.5016860075683844,0.49831399243161556
1,0,False,0.6309462460351389,0.6309462460351389
1,1,True,0.6873153343491312,0.6873153343491312
1,1,True,0.637335006962189,0.637335006962189
1,1,True,0.6286434663648015,0.6286434663648015
1,1,True,0.6443493510482813,0.6443493510482813
1,1,True,0.6471047593434408,0.6471047593434408
1,1,True,0.6115746489545328,0.6115746489545328
1,0,False,0.6003172565723696,0.6003172565723696
1,0,False,0.523793112700063,0.523793112700063
0,0,True,0.5377750238091683,0.46222497619083164
1,0,False,0.5901133182943267,0.5901133182943267
1,0,False,0.6106228056988658,0.6106228056988658
1,0,False,0.5996724828783587,0.5996724828783587
1,0,False,0.5987529550041134,0.5987529550041134
1,0,False,0.5916678996860478,0.5916678996860478
1,0,False,0.62172665483584,0.62172665483584
1,0,False,0.5766300540373273,0.5766300540373273
1,0,False,0.5897102008308656,0.5897102008308656
1,1,True,0.58998518010057,0.58998518010057
1,1,True,0.6525818679044927,0.6525818679044927
1,0,False,0.6045481103000128,0.6045481103000128
1,0,False,0.6372325929200351,0.6372325929200351
1,1,True,0.6358971452177616,0.6358971452177616
1,0,False,0.6687310107832551,0.6687310107832551
1,1,True,0.6627368061387117,0.6627368061387117
1,1,True,0.6504281568756993,0.6504281568756993
1,0,False,0.694001152198739,0.694001152198739
1,0,False,0.5961144882453261,0.5961144882453261
1,0,False,0.5225763669385918,0.5225763669385918
1,0,False,0.5549758943352945,0.5549758943352945
1,1,True,0.5893005863933785,0.5893005863933785
1,1,True,0.5394892910220377,0.5394892910220377
1,1,True,0.6036495136617588,0.6036495136617588
1,1,True,0.6135593929377703,0.6135593929377703
1,1,True,0.670836332604998,0.670836332604998
1,0,False,0.6539317586980832,0.6539317586980832
1,0,False,0.5551691085752004,0.5551691085752004
1,0,False,0.6175770002647412,0.6175770002647412
1,0,False,0.5739356934727058,0.5739356934727058
1,0,False,0.5156905263612913,0.5156905263612913
1,1,True,0.5769804692100757,0.5769804692100757
1,1,True,0.6472056811183942,0.6472056811183942
1,1,True,0.6372942816977615,0.6372942816977615
1,1,True,0.602414614541142,0.602414614541142
1,0,False,0.5870364169663899,0.5870364169663899
1,1,True,0.5401791634435047,0.5401791634435047
1,0,False,0.5654626017939554,0.5654626017939554
1,0,False,0.5509160851235229,0.5509160851235229
1,0,False,0.5803484516920722,0.5803484516920722
1,0,False,0.5859264396072017,0.5859264396072017
1,1,True,0.607468144807075,0.607468144807075
1,1,True,0.5867275723044064,0.5867275723044064
1,1,True,0.5848841287060116,0.5848841287060116
1,1,True,0.6384158726555753,0.6384158726555753
1,1,True,0.5744784496996425,0.5744784496996425
