prediction,actual,correct,prob_up,confidence
1,0,False,0.9678770120866808,0.85
0,0,True,0.426620646767346,0.9999999999999999
0,1,False,0.22662428677876587,1.0
0,1,False,0.11014772634801548,0.85
0,1,False,0.06988986952886972,0.85
1,0,False,0.987814455796501,0.85
1,1,True,0.9749405380324528,0.85
0,0,True,0.18047894745415885,0.85
1,0,False,0.9085528121219435,0.85
1,0,False,0.9509903620329425,0.95
1,0,False,0.8189786707316367,0.95
1,1,True,0.8672448159464905,0.95
1,1,True,0.7351957147887065,1.0
1,1,True,0.7713958938595562,0.95
0,0,True,0.09230764724974903,0.85
1,0,False,0.9864659062669077,0.75
1,0,False,0.7503713856382265,1.0
1,1,True,0.9508216899435888,0.85
1,0,False,0.8091784865287625,1.0
1,1,True,0.9700634957404812,0.95
0,0,True,0.244520866899165,0.75
1,1,True,0.9495766421191418,1.0
1,1,True,0.9205058847970097,1.0
0,0,True,0.011498197131854149,0.85
0,1,False,0.4013324471898537,0.6
0,1,False,0.0019131022584282717,0.85
0,0,True,0.04312725917916894,0.95
0,1,False,0.011361941146450037,0.95
0,1,False,0.010653541798484902,0.95
0,1,False,0.18293162824611667,0.95
0,0,True,0.01426548348571757,0.95
1,0,False,0.9035521394454664,0.95
0,0,True,0.06778717214336875,0.85
1,0,False,0.9656061668946226,0.95
0,0,True,0.11269170595770299,0.95
0,0,True,0.36431082051769503,0.8999999999999999
0,0,True,0.3809988974270364,0.7999999999999999
0,1,False,0.0631318398834884,0.95
0,0,True,0.11512794940612305,0.85
1,1,True,0.9858588886760471,0.85
0,1,False,0.4940085158994635,0.8999999999999999
1,0,False,0.9948665468412748,0.85
1,0,False,0.993108683413578,0.85
1,0,False,0.9569558317065492,0.85
0,1,False,0.1987168241330238,0.85
1,1,True,0.9602071139772453,0.95
1,0,False,0.9979003952035594,0.85
1,1,True,0.9875103012407788,0.85
1,0,False,0.9144521644759424,0.85
1,0,False,0.9864133934556856,1.0
1,1,True,0.9772247430508899,0.95
1,0,False,0.9860154129822508,1.0
1,1,True,0.9921107921405256,0.95
1,1,True,0.9936058930444993,0.85
0,0,True,0.20355211103973844,0.95
0,1,False,0.3960319764680881,0.7999999999999999
1,0,False,0.5964008751906784,0.7999999999999999
1,1,True,0.8219202168331053,0.85
1,0,False,0.825386719676493,0.85
1,0,False,0.972747085834973,0.95
1,0,False,0.8532717798797697,0.95
0,0,True,0.024579270808329133,0.95
0,0,True,0.03266297048543961,1.0
0,0,True,0.017296646280466628,0.95
0,1,False,0.27753560062766514,0.95
1,1,True,0.9849709703521938,0.95
1,1,True,0.9933659144630893,0.85
1,1,True,0.994485259258341,0.75
1,1,True,0.6536998210952191,0.7999999999999999
0,1,False,0.45241919945893205,0.7999999999999999
0,0,True,0.03759896393421619,1.0
0,0,True,0.46842653261018935,0.7
0,1,False,0.2377969932040462,0.95
1,0,False,0.6377402462639484,0.7999999999999999
1,0,False,0.827987852742982,0.95
1,1,True,0.7949050501485524,0.95
0,0,True,0.23029546988602867,0.95
1,1,True,0.9796856314027697,0.85
1,1,True,0.9150450772804894,0.85
1,1,True,0.7799095663846013,0.85
0,1,False,0.04607131021615656,0.85
1,0,False,0.9748530224766676,0.95
0,0,True,0.3926479319722234,0.7999999999999999
0,1,False,0.02542723406955664,0.95
1,0,False,0.8386739592808203,1.0
0,0,True,0.35965785478665174,0.7999999999999999
1,1,True,0.877276774136843,1.0
1,0,False,0.9279356802965336,0.95
1,1,True,0.9946792162134511,0.85
1,0,False,0.9953544139734835,0.85
1,0,False,0.8922266326307333,0.85
1,1,True,0.6873158487699832,0.7999999999999999
1,1,True,0.9937327183778307,0.85
1,0,False,0.9923202883923218,0.75
1,0,False,0.979082917381266,0.75
1,1,True,0.7934765660900462,0.85
1,1,True,0.895092987694042,0.75
1,0,False,0.9857872503494761,1.0
1,0,False,0.5269198863221519,0.7999999999999999
1,0,False,0.8966673284003002,0.85
0,0,True,0.13811651017962576,1.0
0,0,True,0.03817096384278367,1.0
0,1,False,0.08675092401905325,1.0
0,1,False,0.420948667126603,0.7
1,1,True,0.5111047245393804,0.7999999999999999
0,1,False,0.2602794075455513,0.95
0,1,False,0.02791985534339982,0.85
0,0,True,0.0015667366679775606,0.95
