date,return_pct,balance
2023-03-25,0.0,10000.0
2023-03-26,0.0,10000.0
2023-03-27,0.0,10000.0
2023-03-28,0.0,10000.0
2023-03-29,0.0,10000.0
2023-03-30,0.0,10000.0
2023-03-31,0.0,10000.0
2023-04-01,0.0,10000.0
2023-04-02,0.0,10000.0
2023-04-03,0.0,10000.0
2023-04-04,0.0,10000.0
2023-04-05,0.0,10000.0
2023-04-06,0.0,10000.0
2023-04-07,0.0,10000.0
2023-04-08,0.0,10000.0
2023-04-09,0.0,10000.0
2023-04-10,0.0,10000.0
2023-04-11,0.0,10000.0
2023-04-12,0.0,10000.0
2023-04-13,0.0,10000.0
2023-04-14,0.0,10000.0
2023-04-15,0.0,10000.0
2023-04-16,0.0,10000.0
2023-04-17,0.0,10000.0
2023-04-18,0.0,10000.0
2023-04-19,0.0,10000.0
2023-04-20,0.0,10000.0
2023-04-21,0.0,10000.0
2023-04-22,0.0,10000.0
2023-04-23,0.0,10000.0
2023-04-24,0.0,10000.0
2023-04-25,0.0,10000.0
2023-04-26,0.0,10000.0
2023-04-27,0.0,10000.0
2023-04-28,0.0,10000.0
2023-04-29,0.0,10000.0
2023-04-30,0.0,10000.0
2023-05-01,0.0,10000.0
2023-05-02,0.0,10000.0
2023-05-03,0.0,10000.0
2023-05-04,0.0,10000.0
2023-05-05,0.0,10000.0
2023-05-06,0.0,10000.0
2023-05-07,0.0,10000.0
2023-05-08,0.0,10000.0
2023-05-09,0.0,10000.0
2023-05-10,0.0,10000.0
2023-05-11,0.0,10000.0
2023-05-12,0.0,10000.0
2023-05-13,0.0,10000.0
2023-05-14,0.0,10000.0
2023-05-15,0.0,10000.0
2023-05-16,-2.157654563191936,9784.234543680806
2023-05-17,0.0,9784.234543680806
2023-05-18,-1.953046376459059,9593.143905461193
2023-05-19,0.0,9593.143905461193
2023-05-20,-3.157061234254768,9290.282478075604
2023-05-21,0.0,9290.282478075604
2023-05-22,-2.492244762915089,9058.745899555746
2023-05-23,-1.6354474475291296,8910.594870963312
2023-05-24,0.0,8910.594870963312
2023-05-25,0.0,8910.594870963312
2023-05-26,0.0,8910.594870963312
2023-05-27,0.0,8910.594870963312
2023-05-28,0.0,8910.594870963312
2023-05-29,0.0,8910.594870963312
2023-05-30,0.0,8910.594870963312
2023-05-31,0.0,8910.594870963312
2023-06-01,0.0,8910.594870963312
2023-06-02,0.0,8910.594870963312
2023-06-03,0.0,8910.594870963312
2023-06-04,0.0,8910.594870963312
2023-06-05,0.0,8910.594870963312
2023-06-06,0.0,8910.594870963312
2023-06-07,0.0,8910.594870963312
2023-06-08,0.0,8910.594870963312
2023-06-09,0.0,8910.594870963312
2023-06-10,34.81398037288432,12012.727620447717
2023-06-11,0.0,12012.727620447717
2023-06-12,0.0,12012.727620447717
2023-06-13,-1.6293172194144168,11817.00218080641
2023-06-14,-2.042105394229393,11575.686541835958
2023-06-15,-2.1925624974797167,11321.882379893856
2023-06-16,0.0,11321.882379893856
2023-06-17,0.0,11321.882379893856
2023-06-18,0.0,11321.882379893856
2023-06-19,0.0,11321.882379893856
2023-06-20,0.0,11321.882379893856
2023-06-21,0.0,11321.882379893856
2023-06-22,0.0,11321.882379893856
2023-06-23,0.0,11321.882379893856
2023-06-24,0.0,11321.882379893856
2023-06-25,0.0,11321.882379893856
2023-06-26,0.0,11321.882379893856
2023-06-27,0.0,11321.882379893856
2023-06-28,0.0,11321.882379893856
2023-06-29,0.0,11321.882379893856
2023-06-30,0.0,11321.882379893856
2023-07-01,0.0,11321.882379893856
2023-07-02,0.0,11321.882379893856
2023-07-03,0.0,11321.882379893856
2023-07-04,0.0,11321.882379893856
2023-07-05,0.0,11321.882379893856
2023-07-06,0.0,11321.882379893856
2023-07-07,0.0,11321.882379893856
2023-07-08,0.0,11321.882379893856
2023-07-09,0.0,11321.882379893856
2023-07-10,0.0,11321.882379893856
2023-07-11,0.0,11321.882379893856
2023-07-12,0.0,11321.882379893856
2023-07-13,0.0,11321.882379893856
2023-07-14,0.0,11321.882379893856
2023-07-15,0.0,11321.882379893856
2023-07-16,0.0,11321.882379893856
2023-07-17,0.0,11321.882379893856
2023-07-18,0.0,11321.882379893856
2023-07-19,0.0,11321.882379893856
2023-07-20,0.0,11321.882379893856
2023-07-21,0.0,11321.882379893856
2023-07-22,0.0,11321.882379893856
2023-07-23,0.0,11321.882379893856
2023-07-24,0.0,11321.882379893856
2023-07-25,0.0,11321.882379893856
2023-07-26,0.0,11321.882379893856
2023-07-27,0.0,11321.882379893856
