entry_date,exit_date,direction,entry_price,exit_price,pnl,pnl_pct,confidence,bars_held,reason,is_winner,balance_after,month
2023-03-25 18:00:00,2023-03-25 18:00:00,SHORT,1.151207839932759,1.1487862691661312,218.41341185937785,109.20670592968892,0.85,3,Take Profit Hit,True,10341.531339189429,2023-03
2023-03-26 02:00:00,2023-03-26 02:00:00,SHORT,1.1491168992992786,1.1462688248722692,328.42199728710176,158.78789442069396,1.05,6,Take Profit Hit,True,10870.587253320173,2023-03
2023-03-26 09:00:00,2023-03-26 09:00:00,SHORT,1.1474967286580866,1.1470149019093558,409.78296249779595,188.4824402530034,0.85,2,Stop Loss Hit,True,11280.37021581797,2023-03
2023-03-26 19:00:00,2023-03-26 19:00:00,SHORT,1.1479879988188677,1.149100814642109,-258.9945925998566,-114.79879988188677,0.85,1,Stop Loss Hit,False,11021.375623218113,2023-03
2023-03-27 01:00:00,2023-03-27 01:00:00,SHORT,1.14999767457908,1.1474318609790848,232.68548845706457,105.56100091846933,0.85,12,Stop Loss Hit,True,11550.046666572815,2023-03
2023-03-27 19:00:00,2023-03-27 19:00:00,LONG,1.1472325556061493,1.151173255270837,341.0324946886725,147.63251809001795,0.85,7,Take Profit Hit,True,12096.814973025777,2023-03
2023-03-28 06:00:00,2023-03-28 06:00:00,SHORT,1.1493218015474183,1.1446694168671168,413.3248505790272,170.840362318794,0.85,14,Take Profit Hit,True,12765.648622081873,2023-03
2023-03-29 01:00:00,2023-03-29 01:00:00,SHORT,1.1432019977678418,1.1447488956686154,-291.8743001513259,-114.32019977678418,0.95,2,Stop Loss Hit,False,12473.774321930547,2023-03
2023-03-29 16:00:00,2023-03-29 16:00:00,SHORT,1.1487691759328569,1.1441284802494656,345.6718081558553,138.55942845948337,0.85,4,Take Profit Hit,True,13025.413171773218,2023-03
2023-03-30 13:00:00,2023-03-30 13:00:00,SHORT,1.1427171669389649,1.1436898566526696,-297.6872647571634,-114.27171669389651,0.85,3,Stop Loss Hit,False,12727.725907016054,2023-03
2023-03-30 23:00:00,2023-03-30 23:00:00,SHORT,1.1422743880389366,1.1373126974651573,614.6309342073524,241.45355529244316,0.85,6,Take Profit Hit,True,13739.840207595618,2023-03
2023-03-31 10:00:00,2023-03-31 10:00:00,SHORT,1.1385540944978012,1.1360709201812116,260.2119334154735,94.69248895326449,0.85,32,Stop Loss Hit,True,14325.719463517375,2023-03
2023-04-02 11:00:00,2023-04-02 11:00:00,SHORT,1.1322264006018348,1.1322264006018348,0.0,0.0,0.85,7,Stop Loss Hit,False,14467.156917199536,2023-04
2023-04-02 22:00:00,2023-04-02 22:00:00,SHORT,1.1325852472012605,1.134368418175396,-327.7057698673173,-113.25852472012608,0.85,1,Stop Loss Hit,False,14139.451147332218,2023-04
2023-04-03 04:00:00,2023-04-03 04:00:00,LONG,1.1337154295440874,1.1325734417794782,-320.6022786203077,-113.37154295440874,0.95,1,Stop Loss Hit,False,13818.84886871191,2023-04
2023-04-03 08:00:00,2023-04-03 08:00:00,SHORT,1.1327758268829087,1.1294757966708966,212.7538258194287,76.97957617191163,0.85,7,Take Profit Hit,True,14138.844975962857,2023-04
2023-04-03 22:00:00,2023-04-03 22:00:00,SHORT,1.129183604937136,1.1286344056620825,1502.636484879466,531.3858690133691,1.1,2,Stop Loss Hit,True,15641.481460842322,2023-04
2023-04-04 01:00:00,2023-04-04 01:00:00,LONG,1.127236017781321,1.1289483424679347,2447.795713955157,782.4692693218008,0.95,2,Stop Loss Hit,True,18089.27717479748,2023-04
2023-04-04 12:00:00,2023-04-04 12:00:00,SHORT,1.1256091043150673,1.1273138712268993,-407.2291015686157,-112.56091043150673,0.85,1,Stop Loss Hit,False,17682.048073228863,2023-04
2023-04-05 11:00:00,2023-04-05 11:00:00,SHORT,1.1280528444918063,1.1220495677150848,1280.2159620914392,362.01008977849216,1.0,11,Take Profit Hit,True,19819.71462359862,2023-04
2023-04-08 10:00:00,2023-04-08 10:00:00,SHORT,1.1279998742965263,1.1299522491891119,-447.1327120802453,-112.79998742965263,0.85,3,Stop Loss Hit,False,19372.581911518373,2023-04
2023-04-08 20:00:00,2023-04-08 20:00:00,SHORT,1.1273677574528274,1.129198903773659,-436.8004845131935,-112.73677574528274,0.85,3,Stop Loss Hit,False,18935.78142700518,2023-04
2023-04-10 12:00:00,2023-04-10 12:00:00,SHORT,1.1256080958759371,1.1256080958759371,0.0,0.0,0.7799999999999999,13,Stop Loss Hit,False,19088.63262468638,2023-04
2023-04-11 08:00:00,2023-04-11 08:00:00,SHORT,1.1266120013818146,1.128026893733321,-430.1096520988025,-112.66120013818146,0.85,3,Stop Loss Hit,False,18658.522972587576,2023-04
2023-04-11 13:00:00,2023-04-11 13:00:00,SHORT,1.1296765741451458,1.1293010968092023,421.56192620562473,112.96765741451458,1.0,1,Stop Loss Hit,True,19080.0848987932,2023-04
2023-04-11 15:00:00,2023-04-11 15:00:00,SHORT,1.1288120473921783,1.1288120473921783,0.0,0.0,0.95,18,Stop Loss Hit,False,19304.63904322793,2023-04
2023-04-12 10:00:00,2023-04-12 10:00:00,LONG,1.1295014068714182,1.1327919700452138,328.52894880668924,85.090673819653,0.85,14,Take Profit Hit,True,19805.532621300907,2023-04
2023-04-13 01:00:00,2023-04-13 01:00:00,SHORT,1.1334774468915982,1.134410911963384,-448.9824909984083,-113.34774468915982,0.95,2,Stop Loss Hit,False,19356.550130302498,2023-04
2023-04-13 04:00:00,2023-04-13 04:00:00,LONG,1.1347862708960783,1.1334087678207536,-439.3109467955794,-113.47862708960783,0.95,4,Stop Loss Hit,False,18917.239183506917,2023-04
2023-04-14 01:00:00,2023-04-14 01:00:00,SHORT,1.1309523457340027,1.133718049701939,-427.88992058796686,-113.09523457340029,0.95,5,Stop Loss Hit,False,18489.34926291895,2023-04
2023-04-14 11:00:00,2023-04-14 11:00:00,SHORT,1.1315946033812032,1.1280769914944493,294.160012743528,79.54850345476366,0.85,8,Take Profit Hit,True,18933.845148062293,2023-04
2023-04-15 04:00:00,2023-04-15 04:00:00,SHORT,1.1249791062410863,1.1267448602474877,-426.003603847485,-112.49791062410863,0.85,3,Stop Loss Hit,False,18507.841544214807,2023-04
2023-04-15 17:00:00,2023-04-15 17:00:00,SHORT,1.1298527420162172,1.1298527420162172,0.0,0.0,0.95,14,Stop Loss Hit,False,18686.968250093036,2023-04
2023-04-17 22:00:00,2023-04-17 22:00:00,SHORT,1.1326287005278468,1.13003780344119,2321.2774677124735,621.0952565033969,0.85,6,Stop Loss Hit,True,21008.24571780551,2023-04
2023-04-18 05:00:00,2023-04-18 05:00:00,SHORT,1.1300219362019137,1.1300219362019137,0.0,0.0,0.85,7,Stop Loss Hit,False,21206.420192381964,2023-04
2023-04-18 13:00:00,2023-04-18 13:00:00,SHORT,1.1291668374668438,1.1257056912501184,377.9961476898168,89.12304487525087,0.85,5,Take Profit Hit,True,21785.99762721417,2023-04
2023-04-18 19:00:00,2023-04-18 19:00:00,SHORT,1.1259207557907744,1.1259207557907744,0.0,0.0,0.85,5,Stop Loss Hit,False,22141.882769780572,2023-04
2023-04-19 02:00:00,2023-04-19 02:00:00,SHORT,1.1249623810272482,1.1266851155893653,-498.17570322237106,-112.49623810272482,0.95,7,Stop Loss Hit,False,21643.7070665582,2023-04
2023-04-19 10:00:00,2023-04-19 10:00:00,SHORT,1.128121756032276,1.1284986631168736,-488.33473645947646,-112.81217560322763,0.95,1,Stop Loss Hit,False,21155.372330098722,2023-04
2023-04-19 14:00:00,2023-04-19 14:00:00,SHORT,1.1304127153014754,1.1311832676554643,-478.2860375776119,-113.04127153014754,0.85,7,Stop Loss Hit,False,20677.08629252111,2023-04
2023-04-20 01:00:00,2023-04-20 01:00:00,LONG,1.1335087133032704,1.1361503333329668,323.82649057948925,78.3056389082772,1.1,5,Take Profit Hit,True,21165.25268357653,2023-04
2023-04-20 07:00:00,2023-04-20 07:00:00,LONG,1.1356495016985897,1.1345276282400303,-480.7261732685686,-113.56495016985899,1.0,2,Stop Loss Hit,False,20684.526510307962,2023-04
2023-04-20 10:00:00,2023-04-20 10:00:00,LONG,1.1336703403536368,1.1328751927406044,-468.98868417989297,-113.36703403536367,1.05,1,Stop Loss Hit,False,20215.537826128068,2023-04
