prediction,actual,correct,prob_up,confidence,perfect_condition
0,0,True,0.2728274647809279,0.7139997285590892,0.8252802963252086
1,0,False,0.714765460725259,0.49561744415431186,0.523940239598795
1,1,True,0.5630192553002488,0.60990312043219,0.8172736675029153
1,1,True,0.8690885462084785,0.4945713935990227,0.3901689512484794
1,1,True,0.7950250607201397,0.49510557907042774,0.4544150609119199
1,0,False,0.75261124674034,0.4776621136377742,0.465850522276529
1,1,True,0.5034492171247252,0.3309076493395652,0.4697687415210429
0,0,True,0.42903247425197616,0.527225930591847,0.6923505930614752
1,0,False,0.5136854678822691,0.553364874996177,0.7787908489525937
1,0,False,0.7688445215637828,0.5642599933865706,0.5756475434975727
0,0,True,0.370903566441687,0.6438736185432358,0.8091653691546401
1,1,True,0.6189604227906317,0.5664714146575643,0.7072788014045506
1,1,True,0.5946778558535096,0.5082258869527697,0.6448845334866629
1,1,True,0.621009589136989,0.3577339155648338,0.4073259458323435
0,0,True,0.4664080330800445,0.39062596766482743,0.5292439821612203
1,0,False,0.6063244286929634,0.35202098493998774,0.411751896748871
0,0,True,0.36402359437524884,0.5399294410199087,0.6547765680643687
0,1,False,0.33351967736836013,0.5115096745082182,0.5880306870417633
1,0,False,0.7994785640212231,0.5417655221201944,0.5172548338678007
1,1,True,0.5999592719297437,0.42663290347104715,0.5237962004474299
1,0,False,0.847621057836358,0.6548200330587843,0.6374962833670994
1,1,True,0.7523270991560532,0.5173236963461788,0.5227534812179241
1,1,True,0.7137213076309863,0.4920959983330552,0.5198045910778049
1,0,False,0.525028083423271,0.5133341076575771,0.7118817965765922
1,1,True,0.8550998965331095,0.7176661624093031,0.7208660349849108
1,1,True,0.5285923871229675,0.38195946787854024,0.5211486222925139
1,0,False,0.645314310649248,0.4994638266857293,0.5889646289945436
0,1,False,0.4153311339109094,0.4143889047248346,0.5194108358162575
0,1,False,0.47085397044883065,0.37707752524636384,0.5136998678795175
0,1,False,0.16604097061899112,0.59142834503123,0.5586470391466067
1,0,False,0.5957413839640524,0.4484088531176701,0.5585200324846267
0,0,True,0.1384951012357191,0.6039179068799492,0.552878525173401
1,0,False,0.5412352083524947,0.4834287410047374,0.6552680228474865
1,0,False,0.5862362995146987,0.5780144076642499,0.7518180399363297
1,0,False,0.7473575140017983,0.49414836786198657,0.4939055135155823
1,0,False,0.8255586977935059,0.5760968454018526,0.5439451810367845
1,0,False,0.5943403068747914,0.40809623069275147,0.5021314950969666
1,1,True,0.8804887782254991,0.63055639826816,0.5746616161898008
1,0,False,0.5050228335392388,0.5636836086628536,0.8009570121990147
1,1,True,0.7942172162859147,0.666997406534455,0.7006672525184376
1,1,True,0.717728409978201,0.47277650680406424,0.4887706583102053
1,0,False,0.5545423268923411,0.5278715653580937,0.7073516703181273
0,0,True,0.3515624382951717,0.6755379367029223,0.8378219995428933
0,0,True,0.36010522863606614,0.6393881674791472,0.7935018638011242
1,1,True,0.6405648568662103,0.6678168332509734,0.8335398844732105
1,1,True,0.68298411190281,0.5883989286461678,0.6837263735778312
1,0,False,0.8409473105799025,0.5856323851151111,0.5443771410959566
1,1,True,0.6714298041378582,0.44761284608910995,0.49250709086627864
1,0,False,0.5716833415332087,0.3821935203948945,0.48454787924995624
1,0,False,0.840386514083881,0.6228391826259857,0.5980103916795102
1,1,True,0.7089849575772894,0.7127621428350215,0.8391016689837827
1,0,False,0.757094704885884,0.7151781683804259,0.8013162077841365
1,1,True,0.770114868148654,0.6096471682072947,0.6393974961687175
1,1,True,0.7529259493589352,0.4868655438057832,0.4787285345577459
1,0,False,0.6782944121571441,0.47708085388115745,0.5287202951241015
1,1,True,0.6356510286752538,0.40295169537598785,0.4593729688154794
1,0,False,0.5164333519977053,0.55457805161497,0.7781686291662098
1,1,True,0.6952285111189997,0.4350433853206058,0.4541518266417228
1,0,False,0.7536580818342702,0.6639870005046289,0.7311316448629526
1,0,False,0.9039310743106751,0.5723568078962162,0.47142594758544465
1,0,False,0.744763163203243,0.6669553088880835,0.7429963013801968
1,0,False,0.6528942357745704,0.38213354999936583,0.41485286933517657
1,0,False,0.6646556600691415,0.4336210603254258,0.47832523469134425
1,0,False,0.8834897489794432,0.7405828982258913,0.7292700697688934
1,1,True,0.6099821845410646,0.5863089474359379,0.7433137667304273
1,1,True,0.8113889637391614,0.6608427044460266,0.6771561802893282
1,1,True,0.6617518751610554,0.41703342126703047,0.4571175659577104
1,1,True,0.7521475965014857,0.4911015300558276,0.48544710307848027
1,1,True,0.7334809504701845,0.4787601313698905,0.4838165158396855
1,1,True,0.7244116941182979,0.47059766232046923,0.4799294940707008
1,0,False,0.5399767631607921,0.4009478713459497,0.5385168763563921
0,0,True,0.2945811713778695,0.5001524066515,0.5384301563974595
0,1,False,0.3137580992449046,0.5188642519696899,0.5815987307380466
0,0,True,0.34462415151054904,0.6181727699109637,0.7499246583104188
0,0,True,0.3861971324561739,0.4347244945248696,0.52348967714082
1,1,True,0.5597797790117323,0.4011745368633842,0.5218666706519213
1,0,False,0.8363323811402639,0.5319966510475197,0.4717103176619448
1,1,True,0.8505980560534764,0.49819950331922047,0.4112009566959066
1,1,True,0.7682806441345763,0.49418822879574975,0.47602834616429146
1,1,True,0.6367098922808695,0.457051943207651,0.5357514397701848
0,1,False,0.41577312640372766,0.4707656401014204,0.60032787991951
1,0,False,0.7076513319759619,0.5021944958879283,0.5394338524319303
1,0,False,0.6937159339324118,0.44964743968943816,0.4763112561857016
1,1,True,0.5458731435583972,0.36817723225356264,0.48664763731217764
0,0,True,0.21435780581587516,0.75002101910895,0.826622432283536
1,0,False,0.6624397446262489,0.4278501195899809,0.47198038973461665
1,1,True,0.6634940522424241,0.4721095517637216,0.5343044577403817
1,0,False,0.6837956933167586,0.48444295933635023,0.5345222047804216
1,1,True,0.8572433105341177,0.5953149001166713,0.5442413054231439
1,0,False,0.8975754948562623,0.5742179581350426,0.4795323731732647
1,0,False,0.8117541715752314,0.5671918916422047,0.543056269567237
1,1,True,0.8055382419969808,0.5587472199270975,0.5363203924698701
1,1,True,0.8273601241673051,0.5756470801839572,0.541758579547963
1,0,False,0.7314057724450936,0.5247603671192771,0.5513098623603157
1,0,False,0.840989567025752,0.5393900323444872,0.4782804173271944
0,1,False,0.3375410652773487,0.682702576008095,0.8360388788207205
1,1,True,0.8341117423314426,0.4894691148036603,0.4128600991497068
1,0,False,0.7953737064472025,0.6002441455419111,0.6043141738194137
1,0,False,0.7224745037676925,0.4832442356407478,0.4996564762573319
1,0,False,0.6209712046278871,0.3992435757577625,0.46665836140147177
1,0,False,0.7166280296760946,0.5019181359709393,0.5313447402361179
0,0,True,0.32751798251952313,0.6726875047892028,0.8131404204298811
1,1,True,0.5506651678431209,0.3892876868982395,0.51269798027481
1,1,True,0.787091897434211,0.4407900770060065,0.38362134077925697
1,1,True,0.8497899777673175,0.6074314371100964,0.5679392149281512
1,1,True,0.6926411495351644,0.614130242970516,0.7122079332134534
1,1,True,0.5233393783729574,0.318595814621443,0.4351316965680979
0,0,True,0.4393705506994164,0.39203734430293957,0.5080852496036992
0,0,True,0.2677522031210787,0.6262649432764065,0.6955946644986483
1,1,True,0.6202128423564713,0.39926809973618144,0.46734342046042665
1,1,True,0.7262405236156285,0.5283563302223333,0.5608743086470802
1,0,False,0.5503038228015725,0.5004732098746669,0.6718441659910335
1,1,True,0.60534921342543,0.32451157420543153,0.3732886373573908
1,1,True,0.5192129923891033,0.474774270375153,0.66178067848813
1,1,True,0.6613072717481417,0.4550185828633055,0.5117631711634578
1,0,False,0.6020962800207976,0.4162422854551756,0.5071207392038529
0,0,True,0.37924359955630565,0.34466042814518594,0.38886655411281335
1,1,True,0.5615001485468312,0.39352071385443466,0.5094580353233371
0,0,True,0.32714284049394626,0.49778431879234447,0.5629571758410176
1,0,False,0.6543373742646826,0.37372267644678536,0.40160035983996545
1,0,False,0.5712224840289776,0.6249028697934951,0.8316705419658694
0,1,False,0.49449966436189213,0.3752302618680717,0.5313286578360099
1,1,True,0.685411378978115,0.5518178744132082,0.6293872100376274
0,1,False,0.49441304315336004,0.4948320096437713,0.7021140507654104
1,0,False,0.5213291214406978,0.34243566536378406,0.47091170357052203
0,0,True,0.42960609289717205,0.3221137755913806,0.3998249018995484
1,0,False,0.5113679299622692,0.44415676357852363,0.6247657222873745
1,1,True,0.5832960866560821,0.5665498011217301,0.7379602130401156
0,0,True,0.31106116127906774,0.4559900369610816,0.48946676246931753
0,1,False,0.36765033847732087,0.4645714877634185,0.5502309869283015
1,1,True,0.5094324178579466,0.5285372559745579,0.7469682932282715
1,1,True,0.8802050684423826,0.6983354631485462,0.6717320315473096
1,0,False,0.5321360856063951,0.38857263600629693,0.5275585494892284
0,1,False,0.4849424756973158,0.326717948629028,0.45383347721059636
0,1,False,0.14402340784004514,0.529281715409368,0.45099394301913587
0,0,True,0.351264129888056,0.4872681885309924,0.5686095235197515
1,1,True,0.7466536541871552,0.6414826397436174,0.7049863531876062
1,0,False,0.5359579246808104,0.35334257498080496,0.4739540288175982
1,0,False,0.8644712664801152,0.657811820524071,0.6273272294800027
1,1,True,0.698364038385712,0.407862891073888,0.41263495434637254
1,0,False,0.7122807290451876,0.6713818965469044,0.7771620844568455
1,0,False,0.8207502137416126,0.5256329016751867,0.4759753906145988
1,1,True,0.5660393714359534,0.573966719402492,0.7633472807727428
1,1,True,0.886872766837533,0.6041716846624821,0.5314971779428033
0,0,True,0.18901484699655743,0.7593101496328218,0.8181700826153662
1,0,False,0.6336731715109154,0.5872529901089836,0.7243558388606206
0,0,True,0.2408557209943917,0.4776196217317582,0.4601900776119904
1,1,True,0.7347752956574886,0.6761075636905571,0.7646319804229487
1,1,True,0.7105389932114183,0.6278171996375463,0.7164197195867077
0,1,False,0.46049282471880926,0.6001557140649597,0.8235020127089219
0,0,True,0.4830819104792612,0.38147838372825116,0.5304679000225827
0,1,False,0.08283410589123914,0.6096559677913547,0.5133663304658547
0,0,True,0.30070310547971846,0.590049034352742,0.6721012823436759
0,1,False,0.3070773748785202,0.48598883343676785,0.5289075119484
1,0,False,0.6119764316439416,0.4450799564205624,0.5398487106202822
1,0,False,0.6025305900981051,0.4915204341977261,0.6142886859126616
1,1,True,0.5237381278634289,0.48362674672017775,0.6705483857173149
0,0,True,0.3874553679685628,0.35822611959326456,0.41528477196343183
0,0,True,0.4737528599377068,0.3848102301798944,0.5272313516321694
1,1,True,0.7879968010309663,0.5536256932437644,0.5440394466074068
0,1,False,0.3406437822605295,0.6072021592111656,0.7308406122392619
0,0,True,0.49881725678585914,0.3389423886076271,0.48318963239877516
0,0,True,0.3127032252205508,0.40358651223540704,0.41601206766819643
1,0,False,0.5518310898412164,0.49969895803773484,0.6694290059042929
1,1,True,0.7553223042770815,0.6504602909578886,0.7103812977023425
1,0,False,0.6181664699935053,0.4079455657513377,0.48149383393604933
1,1,True,0.5747117458299654,0.49128718592074483,0.637800197746808
1,1,True,0.7799445539778807,0.5333639492467587,0.5219960240857576
1,0,False,0.7628871566226222,0.5294996271760989,0.5310961902893223
1,1,True,0.9062847577659076,0.7351396932985113,0.7019554837699524
0,0,True,0.33401658216394087,0.4699440605598935,0.5290771569403687
1,0,False,0.6998229123074886,0.4403036745062903,0.4577284673168531
1,0,False,0.5260626947261895,0.3518909584205408,0.480361916549753
1,1,True,0.6481254346895428,0.4542165346436322,0.5219161054712951
1,1,True,0.8867545655738452,0.656806245375488,0.606790722901687
1,1,True,0.6955448493314108,0.6336601215144602,0.7376188741651624
1,1,True,0.7164664269178176,0.6488064126455487,0.7413236521355118
0,0,True,0.3329475286461877,0.44826031486418455,0.4971840457884245
1,1,True,0.527501964971928,0.4401792102286761,0.6052543303507418
0,1,False,0.13173780601532586,0.4711498110311141,0.3574178494861566
0,1,False,0.46518144307987397,0.49216937146929124,0.6732546247388795
0,1,False,0.28438869317390686,0.6357103453900625,0.7233479447062952
0,1,False,0.32691847555293,0.6348156340993125,0.7585238849015293
0,1,False,0.25707998715889924,0.4201556674283085,0.3920052281766401
0,0,True,0.4528686701038909,0.4294341538329437,0.5730790798503975
0,1,False,0.4536679350104974,0.39741533760515735,0.5280229980163654
0,1,False,0.40569861934046797,0.3388706674129452,0.40327119859603716
1,0,False,0.6781333516783941,0.5946021716596178,0.696745943789402
0,1,False,0.4967854715882519,0.3109411294484766,0.44144630343061114
0,1,False,0.36799040066641375,0.601246526183744,0.7457725236908461
1,1,True,0.5089193049901194,0.32710352835112105,0.4596456362243564
1,1,True,0.6177090760272261,0.4006796580881171,0.47150601781683066
0,0,True,0.48425875519552636,0.5213697230201969,0.731321394482161
1,1,True,0.7966450904496993,0.5243696186858349,0.49483223488002187
0,1,False,0.4826794531385594,0.5943104582754317,0.8341687573693821
0,0,True,0.29413399122507644,0.5114433605307147,0.5541767932368009
1,0,False,0.5561697117766864,0.3761040346681324,0.4891460108601723
1,0,False,0.5804710443405119,0.6012919348940597,0.7900132975567894
1,1,True,0.5099688811270247,0.5623163895648873,0.7947643726981035
1,0,False,0.6858182650260805,0.6328908382515676,0.7448569703370276
1,1,True,0.8786604781778974,0.6479519371811256,0.6010795003919818
1,0,False,0.8608158664213782,0.6247797264541392,0.5832717237161603
1,1,True,0.6443275159758888,0.4051558673007918,0.4550847967360836
1,0,False,0.7659867673078117,0.5615112067526916,0.5741702090971494
0,0,True,0.3726293059521391,0.48558997908733925,0.5845250895123182
